document_slug,lab,release_date,release_confidence,word_count,n_benchmarks,register,first_mention_catastrophic,first_mention_cot_unfaithfulness,first_mention_cannot_rule_out,data_provenance
openai_gpt4_system_card,openai,2023-03-14,high,27859,3,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_claude2_card,anthropic,2023-07-11,high,5889,9,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama2_card,meta,2023-07-18,high,956,10,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_7b_model_card,mistral,2023-09-27,high,745,0,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_report,google,2023-12-06,high,32283,23,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llamaguard_card,meta,2023-12-07,high,,0,reassurance,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_1_5_report,google,2024-02-15,high,64551,9,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_model_card,anthropic,2024-03-04,high,14089,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_mixtral_model_card,mistral,2024-04-17,high,810,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama3_model_card,meta,2024-04-18,high,1191,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_codestral_blog,mistral,2024-05-29,high,1235,1,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_35_addendum,anthropic,2024-06-20,high,2948,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama3_paper,meta,2024-07-23,high,53027,15,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama31_card,meta,2024-07-23,high,3304,4,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_large_2_blog,mistral,2024-07-24,high,979,1,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt4o_system_card,openai,2024-08-08,high,11624,15,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama32_card,meta,2024-09-25,high,4158,20,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llamaguard3_card,meta,2024-09-25,high,,0,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_35h_addendum,anthropic,2024-10-22,high,5793,27,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_o1_system_card,openai,2024-12-05,high,17410,14,threshold,yes,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_responsible_use,meta,2024-12-06,high,2572,8,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_2_card,google,2024-12-11,high,1529,11,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_operator_card,openai,2025-01-23,high,5291,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_small_3_blog,mistral,2025-01-30,high,957,1,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
mistral_small_3_hf_card,mistral,2025-01-30,high,1740,12,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_o3mini_card,openai,2025-02-10,high,12135,9,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_37_card,anthropic,2025-02-24,high,17827,2,threshold,yes,yes,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt45_system_card,openai,2025-02-27,high,9853,10,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_25_pro_card,google,2025-03-25,high,7182,20,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
meta_llama4_card,meta,2025-04-05,high,3165,7,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_25_card,google,2025-04-09,high,2883,21,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_o3_system_card,openai,2025-04-16,high,9945,18,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_claude4_card,anthropic,2025-05-22,high,33237,11,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_25dt_card,google,2025-08-01,med,6313,14,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_opus41_card,anthropic,2025-08-05,high,5271,21,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt5_system_card,openai,2025-08-07,high,20412,10,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
xai_grok4_card,xai,2025-08-20,high,3482,13,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
xai_grok4_fast_card,xai,2025-09-19,high,2994,15,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_sonnet45_card,anthropic,2025-09-29,high,37364,7,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_haiku45_card,anthropic,2025-10-15,high,10325,17,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt51_system_card,openai,2025-11-12,med,1340,8,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
xai_grok41_card,xai,2025-11-17,high,2243,17,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_3_pro_card,google,2025-11-18,high,2158,8,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_opus45_card,anthropic,2025-11-24,high,38212,18,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt52_system_card,openai,2025-12-15,low,7212,12,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_3_card,google,2025-12-15,med,1070,5,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt53_codex_card,openai,2026-01-20,low,10850,9,threshold,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_sonnet46_card,anthropic,2026-02-15,low,28336,30,hedging,,,yes,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
google_gemini_31_pro_card,google,2026-02-20,low,1755,10,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_opus46_card,anthropic,2026-03-20,low,53965,11,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
anthropic_mythos_card,anthropic,2026-04-08,med,65849,16,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
openai_gpt55_system_card,openai,2026-04-23,high,14496,1,hedging,,,,"wc=real,benchmarks=real,register=heuristic,first_mentions=outline_seeded"
